Song,Artist,Label,YouTube_URL
Break Da Law,21 Savage,1,https://www.youtube.com/watch?v=whxKTWgG1ds
Out For The Night,21 Savage,1,https://www.youtube.com/watch?v=BXd04k_NFLE
1.5,21 Savage,0,https://www.youtube.com/watch?v=X473_RaP3K0
A Lot,21 Savage,1,https://www.youtube.com/watch?v=DmWWqogr_r8
Can't Leave Without It,21 Savage,1,https://www.youtube.com/watch?v=l5M64JuiZAE
Gun Smoke,21 Savage,0,https://www.youtube.com/watch?v=7iHE4OtP_F0
ASMR,21 Savage,0,https://www.youtube.com/watch?v=UlT8BgOXAoo
All My Friends,21 Savage,1,https://www.youtube.com/watch?v=udOSsEXaUxE
Bank Account,21 Savage,1,https://www.youtube.com/watch?v=H1KBHFXm2Bg
Red Opps,21 Savage,0,https://www.youtube.com/watch?v=mWISiHcGoNg
Monster,21 Savage,0,https://www.youtube.com/watch?v=EfikUUvjh34
No Heart,21 Savage & Metro Boomin,1,https://www.youtube.com/watch?v=6wtwpUwxQik
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,1,https://www.youtube.com/watch?v=f4RmrWhQxrM
X,21 Savage & Metro Boomin Featuring Future,1,https://www.youtube.com/watch?v=SpXw0qiy3Wo
Mood,24kGoldn Featuring iann dior,1,https://www.youtube.com/watch?v=GrAchTdepsU
Youngblood,5 Seconds Of Summer,1,https://www.youtube.com/watch?v=-RJSbO8UZVY
Kooda,6ix9ine,1,https://www.youtube.com/watch?v=yz7Cn3pHibo
Gummo,6ix9ine,0,https://www.youtube.com/watch?v=gAs9HZC9c7Y
Look Back At It,A Boogie Wit da Hoodie,1,https://www.youtube.com/watch?v=RWDXD8tAkPo
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,1,https://www.youtube.com/watch?v=mk9YcoZCuzA
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,1,https://www.youtube.com/watch?v=zGcAr9qzIAY
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,1,https://www.youtube.com/watch?v=DEoAbqwmZro
Plain Jane,A$AP Ferg Featuring Nicki Minaj,1,https://www.youtube.com/watch?v=XDMGmtpvBjs
Bang!,AJR,1,https://www.youtube.com/watch?v=4THFRpw68oQ
Do It To It,Acraze Featuring Cherish,1,https://www.youtube.com/watch?v=cBSYJqv0Fjc
Tennessee Rain,Addison Agen,1,https://www.youtube.com/watch?v=9ZxCctmt9_U
Oh My God,Adele,1,https://www.youtube.com/watch?v=niG3YMU6jFk
Easy On Me,Adele,0,https://www.youtube.com/watch?v=U3ASj1L6_sY
Water Under The Bridge,Adele,0,https://www.youtube.com/watch?v=LFT-Fs-A59g
When We Were Young,Adele,1,https://www.youtube.com/watch?v=DDWKuo3gXMQ
Set Fire To The Rain,Adele,0,https://www.youtube.com/watch?v=Ri7-vnrJD3k
Hello,Adele,1,https://www.youtube.com/watch?v=YQHsXMglC9A
Scars To Your Beautiful,Alessia Cara,1,https://www.youtube.com/watch?v=MWASeaYuHZo
Here,Alessia Cara,1,https://www.youtube.com/watch?v=UKp2CrfmVfw
How Far I'll Go,Alessia Cara,0,https://www.youtube.com/watch?v=ZNra8eK0K6k
Heroes (We Could Be),Alesso Featuring Tove Lo,1,https://www.youtube.com/watch?v=a7SouU3ECpU
Caroline,Amine,1,https://www.youtube.com/watch?v=3j8ecF8Wt4E
Fresh Eyes,Andy Grammer,0,https://www.youtube.com/watch?v=5bgemCaaQkU
Good To Be Alive (Hallelujah),Andy Grammer,1,https://www.youtube.com/watch?v=YDu93pdyBDE
Happy Holiday / The Holiday Season,Andy Williams,1,https://www.youtube.com/watch?v=oZ5cmrz-mrU
It's The Most Wonderful Time Of The Year,Andy Williams,0,https://www.youtube.com/watch?v=cbZTfrhcamA
Yellow Hearts,Ant Saunders,1,https://www.youtube.com/watch?v=FDWTP4_5eps
Ella Quiere Beber,Anuel AA & Romeo Santos,1,https://www.youtube.com/watch?v=0w3XwPVxcsw
La Jumpa,Arcangel & Bad Bunny,1,https://www.youtube.com/watch?v=ubbE6gyBf8k
Imagine,Ariana Grande,1,https://www.youtube.com/watch?v=fGeH483gNOg
Focus,Ariana Grande,1,https://www.youtube.com/watch?v=lf_wVfwpfp8
Positions,Ariana Grande,1,https://www.youtube.com/watch?v=tcYodQoapMg
Santa Tell Me,Ariana Grande,0,https://www.youtube.com/watch?v=nlR0MkrRklg
"Thank U, Next",Ariana Grande,0,https://www.youtube.com/watch?v=EEhZAHZQyf4
Breathin,Ariana Grande,1,https://www.youtube.com/watch?v=1BYr1br2Ee4
Love Me Harder,Ariana Grande & The Weeknd,1,https://www.youtube.com/watch?v=g5qU7p7yOY8
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,https://www.youtube.com/watch?v=ssq6X6alZ3w
Side To Side,Ariana Grande Featuring Nicki Minaj,1,https://www.youtube.com/watch?v=SXiSVQZLje8
Roxanne,Arizona Zervas,1,https://www.youtube.com/watch?v=16YnOUnbE6s
No Love,August Alsina,1,https://www.youtube.com/watch?v=nxvm4P0jFKY
How Far I'll Go,Auli'i Cravalho,1,https://www.youtube.com/watch?v=cPAbx5kgCJo
Sweet But Psycho,Ava Max,1,https://www.youtube.com/watch?v=WXBHCQYxwr0
My Head And My Heart,Ava Max,0,https://www.youtube.com/watch?v=w8mBplMtwJ8
Kings & Queens,Ava Max,1,https://www.youtube.com/watch?v=jH1RNk8954Q
Throat Baby (Go Baby),BRS Kash,1,https://www.youtube.com/watch?v=fmNzZOZj3W0
Dynamite,BTS,1,https://www.youtube.com/watch?v=gdZLi9oWNZg
Permission To Dance,BTS,0,https://www.youtube.com/watch?v=CuklIb9d3fI
Butter,BTS,0,https://www.youtube.com/watch?v=WMweEpGlu_U
MIC Drop,BTS Featuring Desiigner,1,https://www.youtube.com/watch?v=kTlv5_Bs8aw
Family Ties,Baby Keem & Kendrick Lamar,1,https://www.youtube.com/watch?v=v6HBZC9pZHQ
Vete,Bad Bunny,1,https://www.youtube.com/watch?v=f5aDUB1NCnk
Yo No Soy Celoso,Bad Bunny,0,https://www.youtube.com/watch?v=kLUeP9E9f5k
Dos Mil 16,Bad Bunny,0,https://www.youtube.com/watch?v=czx0dQe-3uk
Moscow Mule,Bad Bunny,0,https://www.youtube.com/watch?v=p38WgakuYDo
Where She Goes,Bad Bunny,0,https://www.youtube.com/watch?v=bef8QLNHubw
Monaco,Bad Bunny,1,https://www.youtube.com/watch?v=_PJvpq8uOZM
Neverita,Bad Bunny,0,https://www.youtube.com/watch?v=ARWg160eaX4
Efecto,Bad Bunny,0,https://www.youtube.com/watch?v=Nk8C9FdCdJQ
Un Ratito,Bad Bunny,0,https://www.youtube.com/watch?v=No-C01BMynA
Un Coco,Bad Bunny,0,https://www.youtube.com/watch?v=lH3d69sbvX4
Despues de La Playa,Bad Bunny,0,https://www.youtube.com/watch?v=a5rlgE6dcBY
Yonaguni,Bad Bunny,0,https://www.youtube.com/watch?v=doLMt10ytHY
Titi Me Pregunto,Bad Bunny,0,https://www.youtube.com/watch?v=Cr8K88UcO0s
Dakiti,Bad Bunny & Jhay Cortez,1,https://www.youtube.com/watch?v=TmKh7lAwnBI
Tarot,Bad Bunny & Jhay Cortez,0,https://www.youtube.com/watch?v=OnsVcDLXyLw
MIA,Bad Bunny Featuring Drake,1,https://www.youtube.com/watch?v=OSUxrSe5GbI
Rock And A Hard Place,Bailey Zimmerman,1,https://www.youtube.com/watch?v=QyapQFCHUlg
Beautiful,Bazzi Featuring Camila Cabello,1,https://www.youtube.com/watch?v=Uk1hv6h7O1Y
Meant To Be,Bebe Rexha & Florida Georgia Line,1,https://www.youtube.com/watch?v=zDo0H8Fm7d0
Mayores,Becky G Featuring Bad Bunny,1,https://www.youtube.com/watch?v=GMFewiplIbw
11-Jul,Beyonce,1,https://www.youtube.com/watch?v=k4YRWT_Aldo
Cuff It,Beyonce,1,https://www.youtube.com/watch?v=SjqmSPZhF3s
Break My Soul,Beyonce,0,https://www.youtube.com/watch?v=UdkJ3u_TA_U
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,1,https://www.youtube.com/watch?v=IyuUWOnS9BY
Bounce Back,Big Sean,1,https://www.youtube.com/watch?v=phr1pOFK1V8
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,1,https://www.youtube.com/watch?v=DJi7WupFqPQ
I Don't F**k With You,Big Sean Featuring E-40,1,https://www.youtube.com/watch?v=ZR_X6PrASho
Everything I Wanted,Billie Eilish,1,https://www.youtube.com/watch?v=EgBJmlPo8Xw
Bad Guy,Billie Eilish,1,https://www.youtube.com/watch?v=DyDfgMOUjCI
Therefore I Am,Billie Eilish,0,https://www.youtube.com/watch?v=RUQl6YcMalg
Happier Than Ever,Billie Eilish,0,https://www.youtube.com/watch?v=5GJWxDKyk3A
When The Party's Over,Billie Eilish,1,https://www.youtube.com/watch?v=pbMwTqkKSps
What Was I Made For?,Billie Eilish,0,https://www.youtube.com/watch?v=cW8VLC9nnTo
Lovely,Billie Eilish & Khalid,1,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,1,https://www.youtube.com/watch?v=FezVApPddqU
I'll Be Home For Christmas,Bing Crosby With John Scott Trotter And His Orchestra,1,https://www.youtube.com/watch?v=KK_IvzPLBPQ
White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,1,https://www.youtube.com/watch?v=K8WefATo530
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,1,https://www.youtube.com/watch?v=EzKkl64rRbM
A Guy With A Girl,Blake Shelton,1,https://www.youtube.com/watch?v=dnDYhIQ-YOI
Gonna,Blake Shelton,0,https://www.youtube.com/watch?v=iUgQLz5y7QI
I'll Name The Dogs,Blake Shelton,1,https://www.youtube.com/watch?v=pAsN4lSa7O0
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,1,https://www.youtube.com/watch?v=G91KZ56mNbw
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,1,https://www.youtube.com/watch?v=kUhHdASVjGs
Jingle Bell Rock,Bobby Helms,1,https://www.youtube.com/watch?v=ZnDmmiiFSUU
Hot Boy,Bobby Shmurda,1,https://www.youtube.com/watch?v=vJwKKKd2ZYE
Perfect Storm,Brad Paisley,1,https://www.youtube.com/watch?v=inAj-sbwP7I
Rockin' Around The Christmas Tree,Brenda Lee,1,https://www.youtube.com/watch?v=TFsZy9t-qDc
Mean To Me,Brett Eldredge,1,https://www.youtube.com/watch?v=UwleDNQGpTk
Wanna Be That Song,Brett Eldredge,0,https://www.youtube.com/watch?v=n-RnmA8j0ZQ
Like I Loved You,Brett Young,1,https://www.youtube.com/watch?v=PG2azZM4w4o
Sleep Without You,Brett Young,1,https://www.youtube.com/watch?v=H06Ep1MTRW0
Stay A Little Longer,Brothers Osborne,1,https://www.youtube.com/watch?v=zY6cMMtLCcQ
24K Magic,Bruno Mars,1,https://www.youtube.com/watch?v=UqyT8IEBkvY
Versace On The Floor,Bruno Mars,1,https://www.youtube.com/watch?v=-FyjEnoIgTM
Talking To The Moon,Bruno Mars,0,https://www.youtube.com/watch?v=hk9K032K7UM
When I Was Your Man,Bruno Mars,0,https://www.youtube.com/watch?v=ekzHIouo8Q4
That's What I Like,Bruno Mars,1,https://www.youtube.com/watch?v=PMivT7MJ41M
Don't,Bryson Tiller,1,https://www.youtube.com/watch?v=d7cVLE4SaN0
Sorry Not Sorry,Bryson Tiller,1,https://www.youtube.com/watch?v=U4MHrrIQuis
Exchange,Bryson Tiller,0,https://www.youtube.com/watch?v=aj9coPGuFkM
A Holly Jolly Christmas,Burl Ives,1,https://www.youtube.com/watch?v=e_AMTbO50vU
Whoopty,CJ,1,https://www.youtube.com/watch?v=2xWkATdMQms
Love Nwantiti (Ah Ah Ah),CKay,1,https://www.youtube.com/watch?v=D-YDEyuDxWU
Envy Me,Calboy,1,https://www.youtube.com/watch?v=FhPvceQcfzE
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,1,https://www.youtube.com/watch?v=KQMp0JYwTrw
Blame,Calvin Harris Featuring John Newman,1,https://www.youtube.com/watch?v=6ACl8s_tBzE
Burning House,Cam,1,https://www.youtube.com/watch?v=uyGSe76rAJc
I'll Be Home For Christmas,Camila Cabello,1,https://www.youtube.com/watch?v=CfBfjcyEQe4
Consequences,Camila Cabello,1,https://www.youtube.com/watch?v=k73EBmeJ950
Never Be The Same,Camila Cabello,0,https://www.youtube.com/watch?v=Ph54wQG8ynk
My Oh My,Camila Cabello Featuring DaBaby,1,https://www.youtube.com/watch?v=6fd2kkLmSDQ
Havana,Camila Cabello Featuring Young Thug,1,https://www.youtube.com/watch?v=BQ0mxQXmLsk
Money,Cardi B,1,https://www.youtube.com/watch?v=zUOh09GoQgk
Bodak Yellow (Money Moves),Cardi B,1,https://www.youtube.com/watch?v=PEGccV-NOm8
Up,Cardi B,0,https://www.youtube.com/watch?v=rCiBgLOcuKU
WAP,Cardi B Featuring Megan Thee Stallion,1,https://www.youtube.com/watch?v=hsm4poTWjMs
I Like It,"Cardi B, Bad Bunny & J Balvin",1,https://www.youtube.com/watch?v=xTlNMmZKwpA
Que Vuelvas,Carin Leon X Grupo Frontera,1,https://www.youtube.com/watch?v=gG3516BF5_w
Silent Night,Carrie Underwood,1,https://www.youtube.com/watch?v=_xDje0-UtCQ
Dirty Laundry,Carrie Underwood,1,https://www.youtube.com/watch?v=lNzHARgbCG8
Smoke Break,Carrie Underwood,0,https://www.youtube.com/watch?v=3ealNayCkaU
Favorite Time Of Year,Carrie Underwood,0,https://www.youtube.com/watch?v=ZepsFL00VzI
Something In The Water,Carrie Underwood,1,https://www.youtube.com/watch?v=mH9kYn4L8TI
Hallelujah,Carrie Underwood & John Legend,1,https://www.youtube.com/watch?v=4KiFSKLTj0U
Break The Rules,Charli XCX,1,https://www.youtube.com/watch?v=ABhDiXbUaBE
Light Switch,Charlie Puth,0,https://www.youtube.com/watch?v=WFsAon_TWPQ
How Long,Charlie Puth,1,https://www.youtube.com/watch?v=CwfoyVa980U
Attention,Charlie Puth,1,https://www.youtube.com/watch?v=nfs8NYg7yQM
One Call Away,Charlie Puth,0,https://www.youtube.com/watch?v=BxuY9FET9Y4
DJ Play A Christmas Song,Cher,1,https://www.youtube.com/watch?v=-Z6AnCRjWX0
Redbone,Childish Gambino,1,https://www.youtube.com/watch?v=nRJnZsB52Es
Winter Wonderland,Chloe,1,https://www.youtube.com/watch?v=hkUrdcoXibI
Have Mercy,Chloe,1,https://www.youtube.com/watch?v=FfesqRkdSEk
Wish I Didn't Love You,Chloe Kohanski,1,https://www.youtube.com/watch?v=oZATxwlKNmQ
Back To Sleep,Chris Brown,1,https://www.youtube.com/watch?v=OQLuhelCaDQ
Under The Influence,Chris Brown,1,https://www.youtube.com/watch?v=pfxyk1glEq4
Go Crazy,Chris Brown & Young Thug,1,https://www.youtube.com/watch?v=dPhwbZBvW2o
No Guidance,Chris Brown Featuring Drake,1,https://www.youtube.com/watch?v=6L_k74BOLag
Heat,Chris Brown Featuring Gunna,1,https://www.youtube.com/watch?v=i_vMte-NHkY
Party,Chris Brown Featuring Usher & Gucci Mane,1,https://www.youtube.com/watch?v=Z9eMk051dYg
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",1,https://www.youtube.com/watch?v=GTexe8c0eqw
Velvet,Chris Jamison,1,https://www.youtube.com/watch?v=PbSIUaYKAVI
Lost Without U,Chris Jamison & Adam Levine,1,https://www.youtube.com/watch?v=nzZNGmqpwl0
"Big, Big Plans",Chris Lane,1,https://www.youtube.com/watch?v=Jh-MYDF0hr4
White Horse,Chris Stapleton,1,https://www.youtube.com/watch?v=8bRf-EX6kkg
You Should Probably Leave,Chris Stapleton,1,https://www.youtube.com/watch?v=8e7S8l4s1OM
Starting Over,Chris Stapleton,0,https://www.youtube.com/watch?v=A3svABDnmio
Lonely Eyes,Chris Young,1,https://www.youtube.com/watch?v=DBaQBKY8wfA
Losing Sleep,Chris Young,0,https://www.youtube.com/watch?v=zKriLekFPwg
Run Rudolph Run,Chuck Berry,1,https://www.youtube.com/watch?v=YiadNVhaGwk
Rather Be,Clean Bandit Featuring Jess Glynne,1,https://www.youtube.com/watch?v=m-M1AtrxztU
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,1,https://www.youtube.com/watch?v=papuvlVeZg8
'Til You Can't,Cody Johnson,1,https://www.youtube.com/watch?v=v2LixP7n_hM
The Painter,Cody Johnson,0,https://www.youtube.com/watch?v=ur1cb_OztPQ
Try,Colbie Caillat,1,https://www.youtube.com/watch?v=GXoZLPSw8U8
Yellow,Coldplay,0,https://www.youtube.com/watch?v=yKNxeF4KMsY
Viva La Vida,Coldplay,0,https://www.youtube.com/watch?v=dvgZkm1xWPE
Adventure Of A Lifetime,Coldplay,1,https://www.youtube.com/watch?v=QtXby3twMmI
My Universe,Coldplay x BTS,1,https://www.youtube.com/watch?v=3YqPKLZF_WU
You Should Be Here,Cole Swindell,1,https://www.youtube.com/watch?v=K8WlCqZPTeg
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,1,https://www.youtube.com/watch?v=BAZi1J4eL78
Broccoli,D.R.A.M. Featuring Lil Yachty,1,https://www.youtube.com/watch?v=K44j-sb1SRY
Moonwalking In Calabasas,DDG,1,https://www.youtube.com/watch?v=aSo-MVAADyo
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,1,https://www.youtube.com/watch?v=Ekqu_Ku7nuY
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",1,https://www.youtube.com/watch?v=V59rND1Mm1I
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",1,https://www.youtube.com/watch?v=_xGhK6qgPtM
OTW,DJ Luke Nasty,1,https://www.youtube.com/watch?v=Akfeu1zfpLI
Let Me Love You,DJ Snake Featuring Justin Bieber,1,https://www.youtube.com/watch?v=euCqAq6BRa4
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",1,https://www.youtube.com/watch?v=n__gujXP2XU
Do It Like Me,DLOW,1,https://www.youtube.com/watch?v=wvflMAe8xj8
Cake By The Ocean,DNCE,1,https://www.youtube.com/watch?v=vWaRiD5ym74
VIBEZ,DaBaby,1,https://www.youtube.com/watch?v=U2JyeciEwSI
BOP,DaBaby,0,https://www.youtube.com/watch?v=28hYUZMufDg
Baby Sitter,DaBaby Featuring Offset,1,https://www.youtube.com/watch?v=EqHYnsVHXUA
Soldier,Damien,1,https://www.youtube.com/watch?v=FaFL1nilAB0
Speechless,Dan + Shay,1,https://www.youtube.com/watch?v=7UoP9ABJXGE
Nothin' Like You,Dan + Shay,1,https://www.youtube.com/watch?v=0uPHfQSe5rI
Take Me Home For Christmas,Dan + Shay,0,https://www.youtube.com/watch?v=4QJKhKNWy5o
Save Me The Trouble,Dan + Shay,0,https://www.youtube.com/watch?v=2ktDg3OFGCM
Pick Out A Christmas Tree,Dan + Shay,1,https://www.youtube.com/watch?v=gtXz9xPAp8s
"10,000 Hours",Dan + Shay & Justin Bieber,1,https://www.youtube.com/watch?v=Y2E71oe0aSM
Easy,DaniLeigh Featuring Chris Brown,1,https://www.youtube.com/watch?v=7Nbv3reNErw
Homegrown Honey,Darius Rucker,1,https://www.youtube.com/watch?v=KxEwxWWPyhg
Christmas (Baby Please Come Home),Darlene Love,1,https://www.youtube.com/watch?v=vf4ZXBzbAio
I'm Good (Blue),David Guetta & Bebe Rexha,1,https://www.youtube.com/watch?v=90RLzVUuXe4
Dangerous,David Guetta Featuring Sam Martin,1,https://www.youtube.com/watch?v=EVr__5Addjw
Dessert,Dawin,1,https://www.youtube.com/watch?v=NZp_axebSfQ
Hide Away,Daya,1,https://www.youtube.com/watch?v=8zxhX381ZsA
Try Me,DeJ Loaf,1,https://www.youtube.com/watch?v=3Hn9hLOljJI
Back Up,DeJ Loaf Featuring Big Sean,1,https://www.youtube.com/watch?v=JZbJ6q5Cscc
Be Alright,Dean Lewis,1,https://www.youtube.com/watch?v=I0czvJ_jikg
"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,1,https://www.youtube.com/watch?v=Rnil5LyK_B0
Baby It's Cold Outside,Dean Martin,1,https://www.youtube.com/watch?v=UwY0VjJUzXQ
Sorry Not Sorry,Demi Lovato,1,https://www.youtube.com/watch?v=-MsvER1dpjM
Confident,Demi Lovato,1,https://www.youtube.com/watch?v=cwLRQn61oUY
Tell Me You Love Me,Demi Lovato,0,https://www.youtube.com/watch?v=SM1w9PEQOE8
All On Me,Devin Dawson,1,https://www.youtube.com/watch?v=ntCMoh-0ogo
Burning Man,Dierks Bentley Featuring Brothers Osborne,1,https://www.youtube.com/watch?v=2hp7Lotbmgs
Woman,Doja Cat,1,https://www.youtube.com/watch?v=yxW5yuzVi8w
Vegas,Doja Cat,0,https://www.youtube.com/watch?v=QZp2biJul1c
Agora Hills,Doja Cat,1,https://www.youtube.com/watch?v=0c66ksfigtU
Ain't Shit,Doja Cat,0,https://www.youtube.com/watch?v=13MvatpPQv4
Candy,Doja Cat,1,https://www.youtube.com/watch?v=ZRHHOttkM1A
Need To Know,Doja Cat,0,https://www.youtube.com/watch?v=dI3xkL7qUAc
Paint The Town Red,Doja Cat,1,https://www.youtube.com/watch?v=m4_9TFeMfJE
Get Into It (Yuh),Doja Cat,0,https://www.youtube.com/watch?v=9Ko-nEYJ1GE
Streets,Doja Cat,0,https://www.youtube.com/watch?v=jJdlgKzVsnI
Say So,Doja Cat,0,https://www.youtube.com/watch?v=pok8H_KF1FA
